combo_index,score_all12,n_scenes_all12,score_manbo,n_scenes_manbo,score_panmao,n_scenes_panmao,rep_cfg_manbo,rep_cfg_panmao
89,0.569820775462963,12,0.683796412037037,6,0.4558451388888889,6,536,1508
76,0.5681712962962964,12,0.5400269675925926,6,0.596315625,6,458,1430
115,0.5669657407407408,12,0.6347223379629628,6,0.4992091435185186,6,692,1664
140,0.564043287037037,12,0.5311150462962962,6,0.5969715277777777,6,842,1814
116,0.5626061342592592,12,0.696026273148148,6,0.42918599537037033,6,698,1670
119,0.5614776620370371,12,0.6310571759259259,6,0.49189814814814814,6,716,1688
10,0.559934375,12,0.5336420138888889,6,0.5862267361111112,6,62,1034
135,0.5594135416666667,12,0.7164351851851851,6,0.4023918981481482,6,812,1784
14,0.5593171296296297,12,0.4791859953703704,6,0.6394482638888889,6,86,1058
157,0.5571373842592593,12,0.4848380787037037,6,0.6294366898148148,6,944,1916
57,0.5533661458333333,12,0.6391010416666666,6,0.46763125,6,344,1316
148,0.5523630208333333,12,0.5692130787037036,6,0.535512962962963,6,890,1862
126,0.5522472222222222,12,0.5694444444444444,6,0.5350499999999999,6,758,1730
49,0.5465469907407408,12,0.5972221064814814,6,0.495871875,6,296,1268
160,0.5465374421296296,12,0.6523341435185185,6,0.4407407407407407,6,962,1934
112,0.5463251736111111,12,0.5968364583333333,6,0.49581388888888894,6,674,1646
92,0.5455825810185185,12,0.5161266203703704,6,0.5750385416666667,6,554,1526
136,0.5455537037037038,12,0.475713888888889,6,0.6153935185185185,6,818,1790
81,0.5439525462962963,12,0.46149699074074074,6,0.6264081018518518,6,488,1460
87,0.5431135995370371,12,0.5387925925925926,6,0.5474346064814816,6,524,1496
13,0.5392554398148148,12,0.45650069444444447,6,0.6220101851851852,6,80,1052
4,0.5359471643518519,12,0.5598186342592593,6,0.5120756944444445,6,26,998
93,0.5338155092592592,12,0.24672060185185185,6,0.8209104166666666,6,560,1532
79,0.5332369791666666,12,0.5642167824074074,6,0.5022571759259259,6,476,1448
35,0.5312597222222222,12,0.7425540509259259,6,0.31996539351851855,6,212,1184
1,0.5302758680555556,12,0.5298612268518519,6,0.5306905092592592,6,8,980
3,0.5294848958333334,12,0.5190200231481482,6,0.5399497685185185,6,20,992
51,0.5267554398148149,12,0.482619675925926,6,0.5708912037037037,6,308,1280
21,0.5260609374999999,12,0.7446567129629629,6,0.307465162037037,6,128,1100
67,0.5238810763888888,12,0.5257908564814814,6,0.5219712962962962,6,404,1376
22,0.5223380208333334,12,0.4931520833333334,6,0.5515239583333333,6,134,1106
55,0.5220870949074073,12,0.48358425925925924,6,0.5605899305555556,6,332,1304
32,0.5211708333333332,12,0.6289543981481481,6,0.4133872685185185,6,194,1166
101,0.5198977430555555,12,0.6676697916666665,6,0.37212569444444443,6,608,1580
125,0.518952662037037,12,0.5594137731481482,6,0.47849155092592593,6,752,1724
37,0.5178820601851852,12,0.562847337962963,6,0.4729167824074074,6,224,1196
75,0.5169367476851852,12,0.6726853009259259,6,0.3611881944444444,6,452,1424
20,0.5168305555555556,12,0.6644289351851852,6,0.3692321759259259,6,122,1094
103,0.5163000578703704,12,0.5181519675925925,6,0.5144481481481482,6,620,1592
113,0.5160013310185185,12,0.6766206018518518,6,0.3553820601851852,6,680,1652
114,0.5117186921296296,12,0.5776233796296296,6,0.44581400462962967,6,686,1658
62,0.5106385416666667,12,0.6835456018518519,6,0.3377314814814814,6,374,1346
43,0.5099634837962963,12,0.5839313657407408,6,0.4359956018518519,6,260,1232
80,0.5097222800925926,12,0.4665123842592593,6,0.5529321759259259,6,482,1454
82,0.505767650462963,12,0.6085648148148148,6,0.40297048611111114,6,494,1466
25,0.5043305555555556,12,0.5710453703703704,6,0.43761574074074067,6,152,1124
52,0.5035782407407408,12,0.4845484953703703,6,0.5226079861111111,6,314,1286
139,0.5033082175925926,12,0.5628857638888889,6,0.4437306712962963,6,836,1808
9,0.5021798611111111,12,0.35347233796296296,6,0.6508873842592592,6,56,1028
40,0.5016300925925926,12,0.575906712962963,6,0.42735347222222225,6,242,1214
144,0.5001832175925927,12,0.21994606481481482,6,0.7804203703703704,6,866,1838
85,0.4959008101851852,12,0.7164930555555556,6,0.27530856481481486,6,512,1484
66,0.4944637731481481,12,0.6377893518518519,6,0.35113819444444444,6,398,1370
77,0.48918796296296296,12,0.3762731481481481,6,0.6021027777777778,6,464,1436
100,0.48635225694444445,12,0.4951773148148148,6,0.4775271990740741,6,602,1574
54,0.4855517939814815,12,0.46493055555555557,6,0.5061730324074074,6,326,1298
154,0.48393130787037036,12,0.39253483796296296,6,0.5753277777777778,6,926,1898
58,0.4835840277777778,12,0.4259258101851852,6,0.5412422453703704,6,350,1322
107,0.48169375000000003,12,0.5930555555555556,6,0.37033194444444445,6,644,1616
34,0.47635028935185186,12,0.4718363425925926,6,0.48086423611111107,6,206,1178
18,0.4750385416666667,12,0.5213733796296297,6,0.42870370370370364,6,110,1082
45,0.47198125,12,0.6153164351851852,6,0.3286460648148148,6,272,1244
150,0.4708623263888889,12,0.49402013888888896,6,0.4477045138888889,6,902,1874
31,0.4674189814814815,12,0.3455826388888889,6,0.589255324074074,6,188,1160
83,0.4616897569444444,12,0.35001921296296296,6,0.5733603009259259,6,500,1472
110,0.46056134259259257,12,0.5625001157407407,6,0.35862256944444443,6,662,1634
142,0.457716087962963,12,0.44106874999999995,6,0.47436342592592595,6,854,1826
88,0.45770636574074075,12,0.4029706018518518,6,0.5124421296296297,6,530,1502
39,0.4550925925925926,12,0.43123055555555556,6,0.47895462962962965,6,236,1208
27,0.45429218749999994,12,0.4102238425925926,6,0.4983605324074074,6,164,1136
102,0.4530864583333334,12,0.4785108796296296,6,0.42766203703703703,6,614,1586
19,0.4494503472222222,12,0.4433643518518518,6,0.4555363425925926,6,116,1088
97,0.44782013888888894,12,0.43506932870370374,6,0.4605709490740741,6,584,1556
33,0.4476755787037037,12,0.36614583333333334,6,0.5292053240740741,6,200,1172
59,0.44598750000000004,12,0.3453123842592593,6,0.5466626157407407,6,356,1328
50,0.44152210648148155,12,0.5220872685185185,6,0.3609569444444445,6,302,1274
138,0.4403163773148148,12,0.5860145833333333,6,0.2946181712962963,6,830,1802
98,0.43972800925925926,12,0.5175346064814815,6,0.36192141203703704,6,590,1562
48,0.4380691550925926,12,0.5396798611111111,6,0.3364584490740741,6,290,1262
46,0.435069386574074,12,0.473553125,6,0.39658564814814806,6,278,1250
159,0.4321566550925926,12,0.45864201388888887,6,0.4056712962962963,6,956,1928
134,0.42985167824074066,12,0.40109965277777776,6,0.4586037037037036,6,806,1778
108,0.4269001736111111,12,0.4053820601851852,6,0.448418287037037,6,650,1622
56,0.42081406250000003,12,0.33370000000000005,6,0.507928125,6,338,1310
12,0.42063061342592595,12,0.29583310185185185,6,0.545428125,6,74,1046
69,0.4171392361111111,12,0.4433447916666667,6,0.3909336805555555,6,416,1388
124,0.4152777199074074,12,0.4496526620370371,6,0.3809027777777778,6,746,1718
158,0.411622511574074,12,0.4880017361111111,6,0.335243287037037,6,950,1922
151,0.4111304976851852,12,0.4591244212962963,6,0.363136574074074,6,908,1880
120,0.41019484953703705,12,0.4143711805555555,6,0.40601851851851856,6,722,1694
71,0.40997285879629625,12,0.5088347222222221,6,0.31111099537037035,6,428,1400
42,0.4095389467592592,12,0.30979930555555557,6,0.509278587962963,6,254,1226
84,0.4013887731481482,12,0.4054204861111112,6,0.39735706018518524,6,506,1478
128,0.3931520833333333,12,0.34793611111111106,6,0.4383680555555556,6,770,1742
86,0.3925252314814815,12,0.39083738425925924,6,0.3942130787037037,6,518,1490
96,0.3845873263888889,12,0.501871412037037,6,0.26730324074074074,6,578,1550
130,0.38455839120370366,12,0.4028743055555555,6,0.3662424768518519,6,782,1754
153,0.36209490740740735,12,0.18398923611111115,6,0.5402005787037036,6,920,1892
141,0.2445215277777778,12,0.013387268518518519,6,0.4756557870370371,6,848,1820
