combo_index,score_all12,n_scenes_all12,score_manbo,n_scenes_manbo,score_panmao,n_scenes_panmao,rep_cfg_manbo,rep_cfg_panmao
147,0.7470484375000002,12,0.6508679398148148,6,0.8432289351851853,6,884,1856
127,0.734413599537037,12,0.8241512731481482,6,0.6446759259259259,6,764,1736
60,0.7282599537037037,12,0.6959296296296297,6,0.7605902777777779,6,362,1334
72,0.7223668981481483,12,0.4474537037037037,6,0.9972800925925926,6,434,1406
155,0.7210359953703703,12,0.7054592592592593,6,0.7366127314814815,6,932,1904
61,0.7178529513888888,12,0.695794675925926,6,0.7399112268518518,6,368,1340
15,0.7031829282407408,12,0.6501157407407407,6,0.7562501157407407,6,92,1064
133,0.6990644675925926,12,0.5455055555555556,6,0.8526233796296295,6,800,1772
129,0.6989775462962964,12,0.5742283564814815,6,0.823726736111111,6,776,1748
7,0.6978394097222221,12,0.6028163194444445,6,0.7928625,6,44,1016
99,0.6900849537037037,12,0.7303627314814815,6,0.649807175925926,6,596,1568
16,0.6858892361111111,12,0.6412422453703704,6,0.7305362268518518,6,98,1070
0,0.6855805555555555,12,0.7408755787037037,6,0.6302855324074074,6,2,974
123,0.6777583912037036,12,0.617225925925926,6,0.7382908564814814,6,740,1712
23,0.6703897569444445,12,0.5689815972222222,6,0.7717979166666668,6,140,1112
6,0.6684992476851851,12,0.5913967592592593,6,0.745601736111111,6,38,1010
53,0.664766550925926,12,0.5098186342592593,6,0.8197144675925926,6,320,1292
91,0.6630498842592593,12,0.5207369212962963,6,0.8053628472222223,6,548,1520
2,0.6630015046296296,12,0.6205438657407406,6,0.7054591435185186,6,14,986
111,0.6624421875,12,0.7295140046296296,6,0.5953703703703703,6,668,1640
122,0.6621720486111111,12,0.6280478009259259,6,0.6962962962962963,6,734,1706
161,0.6607832175925926,12,0.6461420138888888,6,0.6754244212962962,6,968,1940
149,0.6597028356481481,12,0.6195406250000001,6,0.6998650462962962,6,896,1868
132,0.6570313078703705,12,0.6488812500000001,6,0.6651813657407407,6,794,1766
146,0.6565105324074074,12,0.548842824074074,6,0.7641782407407408,6,878,1850
74,0.6548611689814815,12,0.6041474537037037,6,0.7055748842592594,6,446,1418
36,0.6524884259259259,12,0.5660108796296296,6,0.7389659722222223,6,218,1190
63,0.6505594328703704,12,0.6048611111111111,6,0.6962577546296297,6,380,1352
106,0.6454765625,12,0.5598186342592593,6,0.7311344907407408,6,638,1610
90,0.6454668981481482,12,0.5505787037037037,6,0.7403550925925927,6,542,1514
131,0.6417052083333333,12,0.7550155092592593,6,0.5283949074074074,6,788,1760
29,0.6399595486111113,12,0.5076967592592593,6,0.7722223379629631,6,176,1148
