ConfigID,avg_f1,n_images,target,combo_index
1,0.58125,1440,manbo,0
2,0.8603006944444445,1440,manbo,0
3,0.5068284722222223,1440,manbo,0
4,0.9994215277777777,1440,manbo,0
5,0.6976847222222222,1440,manbo,0
6,0.7997680555555555,1440,manbo,0
7,0.9994215277777777,1440,manbo,1
8,0.4865736111111111,1440,manbo,1
9,0.36921319444444445,1440,manbo,1
10,0.4140048611111111,1440,manbo,1
11,0.2931715277777778,1440,manbo,1
12,0.6167826388888888,1440,manbo,1
13,0.24699027777777782,1440,manbo,2
14,0.4682868055555555,1440,manbo,2
15,0.9994215277777777,1440,manbo,2
16,0.9995368055555556,1440,manbo,2
17,0.40208333333333335,1440,manbo,2
18,0.6069444444444444,1440,manbo,2
19,0.9991895833333334,1440,manbo,3
20,0.5488423611111111,1440,manbo,3
21,0.33969930555555555,1440,manbo,3
22,0.00046319444444444446,1440,manbo,3
23,0.36736111111111114,1440,manbo,3
24,0.8585645833333334,1440,manbo,3
25,0.4111111111111111,1440,manbo,4
26,0.7534722222222222,1440,manbo,4
27,0.6076388888888888,1440,manbo,4
28,0.4027777777777778,1440,manbo,4
29,0.7715277777777778,1440,manbo,4
30,0.41238402777777783,1440,manbo,4
31,0.9990736111111113,1440,manbo,5
32,0.4921291666666666,1440,manbo,5
33,0.4762729166666667,1440,manbo,5
34,0.6583333333333333,1440,manbo,5
35,0.7534722222222222,1440,manbo,5
36,0.5942131944444444,1440,manbo,5
37,0.9995368055555556,1440,manbo,6
38,0.9995375000000001,1440,manbo,6
39,0.9993055555555556,1440,manbo,6
40,0.05439861111111111,1440,manbo,6
41,0.4949076388888889,1440,manbo,6
42,0.0006944444444444445,1440,manbo,6
43,0.9622687499999999,1440,manbo,7
44,0.40868055555555555,1440,manbo,7
45,0.66875,1440,manbo,7
46,0.43032361111111106,1440,manbo,7
47,0.70289375,1440,manbo,7
48,0.44398125,1440,manbo,7
49,0.7652777777777777,1440,manbo,8
50,0.9994215277777777,1440,manbo,8
51,0.54398125,1440,manbo,8
52,0.44722222222222224,1440,manbo,8
53,0.5618055555555556,1440,manbo,8
54,0.9252312500000001,1440,manbo,8
55,0.6417826388888889,1440,manbo,9
56,0.4900465277777778,1440,manbo,9
57,0.41539375,1440,manbo,9
58,0.00046319444444444446,1440,manbo,9
59,0.5729166666666666,1440,manbo,9
60,0.00023125,1440,manbo,9
61,0.5836805555555555,1440,manbo,10
62,0.9991895833333334,1440,manbo,10
63,0.99976875,1440,manbo,10
64,0.11377291666666667,1440,manbo,10
65,0.0009263888888888889,1440,manbo,10
66,0.5045138888888889,1440,manbo,10
67,0.0006944444444444445,1440,manbo,11
68,0.1423611111111111,1440,manbo,11
69,0.9991895833333334,1440,manbo,11
70,0.9993055555555556,1440,manbo,11
71,0.9991895833333334,1440,manbo,11
72,0.7194444444444444,1440,manbo,11
73,0.5575229166666666,1440,manbo,12
74,0.35196736111111115,1440,manbo,12
75,0.0006944444444444445,1440,manbo,12
76,0.0004625,1440,manbo,12
77,0.4599534722222222,1440,manbo,12
78,0.40439791666666663,1440,manbo,12
79,0.4017361111111111,1440,manbo,13
80,0.57476875,1440,manbo,13
81,0.770370138888889,1440,manbo,13
82,0.8094909722222222,1440,manbo,13
83,0.18240694444444447,1440,manbo,13
84,0.00023125,1440,manbo,13
85,0.4452548611111111,1440,manbo,14
86,0.7980319444444446,1440,manbo,14
87,0.44664375,1440,manbo,14
88,0.14930555555555555,1440,manbo,14
89,0.9995368055555556,1440,manbo,14
90,0.03634305555555556,1440,manbo,14
91,0.59375,1440,manbo,15
92,0.6151618055555556,1440,manbo,15
93,0.9994215277777777,1440,manbo,15
94,0.9994215277777777,1440,manbo,15
95,0.6924770833333334,1440,manbo,15
96,0.0004625,1440,manbo,15
97,0.39375,1440,manbo,16
98,0.9996527777777777,1440,manbo,16
99,0.9993055555555556,1440,manbo,16
100,0.1379625,1440,manbo,16
101,0.48622708333333337,1440,manbo,16
102,0.8305555555555556,1440,manbo,16
103,0.16111111111111112,1440,manbo,17
104,0.6902777777777778,1440,manbo,17
105,0.9991895833333334,1440,manbo,17
106,0.9995374999999999,1440,manbo,17
107,0.9993055555555556,1440,manbo,17
108,0.3655090277777778,1440,manbo,17
109,0.6355319444444444,1440,manbo,18
110,0.60601875,1440,manbo,18
111,0.42141180555555563,1440,manbo,18
112,0.4383104166666667,1440,manbo,18
113,0.5836805555555555,1440,manbo,18
114,0.44328680555555555,1440,manbo,18
115,0.5105326388888888,1440,manbo,19
116,0.6366902777777779,1440,manbo,19
117,0.50625,1440,manbo,19
118,0.4111111111111111,1440,manbo,19
119,0.4184027777777778,1440,manbo,19
120,0.17719930555555555,1440,manbo,19
121,0.41863402777777775,1440,manbo,20
122,0.9996527777777777,1440,manbo,20
123,0.6575236111111111,1440,manbo,20
124,0.6116895833333333,1440,manbo,20
125,0.9990736111111113,1440,manbo,20
126,0.3,1440,manbo,20
127,0.14050902777777777,1440,manbo,21
128,0.99976875,1440,manbo,21
129,0.9993055555555556,1440,manbo,21
130,0.9344909722222222,1440,manbo,21
131,0.5998840277777777,1440,manbo,21
132,0.7939819444444444,1440,manbo,21
133,0.002777777777777778,1440,manbo,22
134,0.5917826388888889,1440,manbo,22
135,0.99976875,1440,manbo,22
136,0.08761597222222223,1440,manbo,22
137,0.55625,1440,manbo,22
138,0.7207173611111112,1440,manbo,22
139,0.27789375,1440,manbo,23
140,0.47337986111111113,1440,manbo,23
141,0.5255784722222222,1440,manbo,23
142,0.99976875,1440,manbo,23
143,0.9994215277777777,1440,manbo,23
144,0.13784722222222223,1440,manbo,23
145,0.20300902777777777,1440,manbo,24
146,0.99976875,1440,manbo,24
147,0.9991895833333334,1440,manbo,24
148,0.9991895833333334,1440,manbo,24
149,0.9995368055555556,1440,manbo,24
150,0.66273125,1440,manbo,24
151,0.23067152777777775,1440,manbo,25
152,0.09490694444444445,1440,manbo,25
153,0.4840277777777778,1440,manbo,25
154,0.9993055555555556,1440,manbo,25
155,0.9995368055555556,1440,manbo,25
156,0.6178236111111111,1440,manbo,25
157,0.5123840277777778,1440,manbo,26
158,0.04293958333333333,1440,manbo,26
159,0.37222222222222223,1440,manbo,26
160,0.9995374999999999,1440,manbo,26
161,0.9994215277777777,1440,manbo,26
162,0.9991895833333334,1440,manbo,26
163,0.34178263888888893,1440,manbo,27
164,0.5663194444444445,1440,manbo,27
165,0.8375,1440,manbo,27
166,0.4954861111111111,1440,manbo,27
167,0.0008104166666666666,1440,manbo,27
168,0.21944444444444444,1440,manbo,27
169,0.99976875,1440,manbo,28
170,0.36435138888888885,1440,manbo,28
171,0.42337986111111103,1440,manbo,28
172,0.6590277777777779,1440,manbo,28
173,0.6284722222222222,1440,manbo,28
174,0.7844902777777777,1440,manbo,28
175,0.44756944444444446,1440,manbo,29
176,0.35752291666666663,1440,manbo,29
177,0.8153937499999999,1440,manbo,29
178,0.27766180555555553,1440,manbo,29
179,0.48622708333333325,1440,manbo,29
180,0.6618055555555555,1440,manbo,29
181,0.21504583333333338,1440,manbo,30
182,0.41435208333333334,1440,manbo,30
183,0.9995368055555556,1440,manbo,30
184,0.35555555555555557,1440,manbo,30
185,0.4392361111111111,1440,manbo,30
186,0.3729166666666667,1440,manbo,30
187,0.3884263888888889,1440,manbo,31
188,0.7798611111111111,1440,manbo,31
189,0.5601854166666667,1440,manbo,31
190,0.3436340277777778,1440,manbo,31
191,0.0006944444444444445,1440,manbo,31
192,0.0006944444444444445,1440,manbo,31
193,0.59664375,1440,manbo,32
194,0.9995368055555556,1440,manbo,32
195,0.38182847222222227,1440,manbo,32
196,0.9990736111111113,1440,manbo,32
