ConfigID,name,index,minTemperature,maxTemperature,hFOVPixels,vFOVPixels,hFOVDeg,vFOVDeg,senSim_percentBlur,senSim_percentNoise,trackFilePath
1000,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.5,0.5,E:\track.trk
1001,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.5,0.5,E:\track.trk
1002,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.5,0.5,E:\track.trk
1003,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,1.0,0.5,E:\track.trk
1004,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,1.0,0.5,E:\track.trk
1005,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,1.0,0.5,E:\track.trk
1006,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,1.0,0.5,E:\track.trk
1007,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,1.0,0.5,E:\track.trk
1008,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,1.0,0.5,E:\track.trk
1009,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.0,1.0,E:\track.trk
1010,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.0,1.0,E:\track.trk
1011,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.0,1.0,E:\track.trk
1012,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.0,1.0,E:\track.trk
1013,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.0,1.0,E:\track.trk
1014,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.0,1.0,E:\track.trk
1015,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.5,1.0,E:\track.trk
1016,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.5,1.0,E:\track.trk
1017,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.5,1.0,E:\track.trk
1018,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.5,1.0,E:\track.trk
1019,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.5,1.0,E:\track.trk
1020,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.5,1.0,E:\track.trk
1021,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,1.0,1.0,E:\track.trk
1022,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,1.0,1.0,E:\track.trk
1023,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,1.0,1.0,E:\track.trk
1024,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,1.0,1.0,E:\track.trk
1025,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,1.0,1.0,E:\track.trk
1026,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,1.0,1.0,E:\track.trk
1027,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.0,0.0,E:\track.trk
1028,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.0,0.0,E:\track.trk
1029,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.0,0.0,E:\track.trk
